abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
40.0,5,4,2.75,92,62,55,64,21,44,70,77,50,42,19,60,0,32,32,True,False,False,False,False,False,False,False,False,False
51.1,3,38,4.15,92,78,21,20,64,44,50,12,62,32,20,63,32,73,29,False,True,False,False,False,False,False,False,False,False
46.0,3,26,4.03,92,15,15,30,60,30,5,70,40,5,25,0,0,40,35,False,True,False,False,False,False,False,False,False,False
40.0,3,16,4.3,92,52,60,30,62,15,10,35,68,25,30,40,10,65,30,False,False,False,False,False,False,False,False,False,True
40.0,2,189,3.99,92,32,46,67,70,45,61,55,70,34,20,50,45,55,60,False,False,False,False,False,True,False,False,False,False
43.0,2,5,4.7,92,50,85,65,70,40,10,65,50,45,20,40,10,65,30,False,False,False,False,False,False,True,False,False,False
40.0,2,113,3.92,92,30,30,50,40,10,5,70,60,0,0,5,0,40,0,False,False,False,False,False,False,False,False,False,True
40.0,3,281,4.07,92,42,64,70,68,60,42,80,74,44,20,68,22,84,28,False,False,False,False,False,True,False,False,False,False
40.0,1,243,3.48,92,0,55,38,55,58,72,50,74,35,0,80,60,70,28,False,False,False,False,False,False,False,False,False,True
40.0,2,118,4.21,92,15,50,20,85,25,10,70,75,70,30,15,30,50,20,False,False,False,False,False,False,True,False,False,False
40.0,2,12,4.57,92,10,60,50,75,30,10,70,80,70,50,20,60,40,50,False,False,False,False,False,False,True,False,False,False
40.0,4,2,5.0,92,45,50,35,65,65,20,40,60,75,70,10,20,40,70,False,False,False,False,False,True,False,False,False,False
45.0,3,12,4.65,92,10,0,50,30,10,0,60,40,0,5,0,15,60,0,False,False,False,False,False,True,False,False,False,False
40.0,2,38,3.68,92,5,20,20,30,5,0,40,60,5,10,0,10,60,15,False,False,False,False,False,False,False,False,False,True
41.0,2,30,3.8,92,40,25,35,15,10,10,20,60,10,5,35,0,65,0,False,True,False,False,False,False,False,False,False,False
40.0,3,19,4.22,92,40,55,50,60,75,10,65,85,25,20,30,20,75,25,False,False,False,False,False,True,False,False,False,False
40.0,3,4,4.19,92,68,62,75,85,65,40,87,88,83,87,67,60,74,70,False,False,False,False,False,True,False,False,False,False
40.0,3,7,3.96,92,10,10,30,60,15,55,35,50,25,15,30,40,65,10,False,False,False,False,False,False,True,False,False,False
40.0,2,17,4.18,92,0,20,50,40,0,10,70,30,40,10,0,30,60,10,False,False,False,False,False,False,True,False,False,False
40.0,3,6,4.21,92,30,60,25,40,0,5,60,30,20,0,0,10,30,10,False,False,False,False,False,False,False,False,False,True
40.0,2,610,4.07,92,15,10,50,35,15,10,70,65,10,10,0,20,15,0,False,False,False,False,False,False,False,False,False,True
40.0,2,4,4.38,91,20,40,30,85,10,15,55,20,10,10,0,20,15,0,False,False,False,False,False,False,True,False,False,False
40.0,2,4,3.88,91,20,40,50,40,50,70,50,40,80,20,20,50,80,30,False,False,False,False,False,False,True,False,False,False
40.0,4,2,4.38,91,4,10,25,20,5,0,40,50,5,0,0,5,15,0,False,False,False,False,False,False,False,False,False,True
45.0,3,2,4.38,91,0,0,20,80,0,20,40,35,15,0,20,20,25,25,False,False,False,False,False,False,True,False,False,False
40.0,3,1,4.75,91,5,15,25,20,10,0,60,50,5,5,0,10,30,5,False,False,False,False,False,True,False,False,False,False
40.0,2,11,4.23,91,0,25,20,15,0,5,40,50,15,5,0,15,60,30,False,False,False,False,False,False,True,False,False,False
40.0,3,14,4.17,91,5,0,55,10,15,0,55,85,45,55,20,5,65,5,False,False,False,False,False,True,False,False,False,False
40.0,3,90,3.89,91,0,30,25,25,25,0,20,20,20,20,40,10,25,10,False,False,False,False,False,False,True,False,False,False
45.0,4,13,4.38,91,90,99,50,30,45,45,80,70,25,30,80,0,65,0,False,True,False,False,False,False,False,False,False,False
45.0,4,7,3.46,91,80,60,45,65,40,25,90,75,15,70,40,20,70,0,False,True,False,False,False,False,False,False,False,False
47.0,4,11,4.05,91,70,60,20,60,0,40,0,50,40,0,28,0,40,10,False,True,False,False,False,False,False,False,False,False
48.0,4,20,4.52,91,10,10,20,20,50,10,40,30,20,10,10,10,20,0,False,True,False,False,False,False,False,False,False,False
40.0,2,64,3.96,91,65,55,55,70,20,10,45,45,55,45,65,10,60,45,False,True,False,False,False,False,False,False,False,False
51.0,5,7,4.75,91,65,65,60,65,30,25,60,60,60,65,80,10,75,70,False,True,False,False,False,False,False,False,False,False
40.0,3,101,3.97,91,5,25,25,35,45,15,45,45,10,10,0,20,45,0,False,False,False,False,False,False,False,False,False,True
47.0,4,5,3.95,91,60,30,70,55,30,35,75,60,45,75,10,60,85,10,False,True,False,False,False,False,False,False,False,False
40.0,3,287,4.25,91,0,15,40,55,25,20,70,75,20,15,10,30,35,10,False,False,False,False,False,True,False,False,False,False
40.0,5,75,4.58,91,55,35,50,25,75,25,60,85,70,80,30,60,90,60,False,False,False,False,False,False,False,False,True,False
45.0,4,10,4.02,91,72,67,61,78,52,15,62,65,60,56,61,15,64,76,False,True,False,False,False,False,False,False,False,False
40.0,4,3,3.25,91,30,60,70,35,45,35,90,90,20,35,55,15,85,30,False,False,False,False,False,False,False,True,False,False
40.0,2,12,4.56,91,20,65,60,30,30,25,90,85,5,40,45,10,50,30,False,False,False,False,False,True,False,False,False,False
40.0,2,2,3.0,91,11,26,78,74,19,64,22,68,34,20,6,51,78,28,False,False,False,False,False,False,True,False,False,False
40.0,3,3,4.42,91,35,65,60,70,25,10,20,55,20,15,10,10,60,60,False,False,False,False,False,True,False,False,False,False
40.0,2,34,4.19,91,45,81,77,77,74,60,69,72,83,68,74,65,75,88,False,False,False,False,False,False,True,False,False,False
43.0,2,9,4.17,91,5,20,20,40,50,15,40,30,25,20,5,35,75,0,False,False,False,False,False,False,True,False,False,False
46.8,2,61,4.0,91,65,50,15,45,30,20,35,15,35,25,15,50,25,25,False,True,False,False,False,False,False,False,False,False
53.0,3,8,4.44,90,0,45,45,85,20,25,60,30,20,0,10,20,20,0,False,False,False,False,False,False,True,False,False,False
40.0,5,4,4.63,90,30,50,30,65,15,30,40,30,15,15,20,10,15,0,False,False,False,False,False,True,False,False,False,False
40.0,4,5,3.15,90,0,15,30,65,10,35,35,40,35,10,0,45,65,0,False,False,False,False,False,False,True,False,False,False
43.0,3,4,4.56,90,30,70,10,85,0,20,50,10,15,0,10,20,20,0,False,False,False,False,True,False,False,False,False,False
40.0,4,2,3.38,90,20,40,35,50,25,45,60,45,10,0,0,35,35,0,False,False,False,False,False,True,False,False,False,False
40.0,4,18,4.23,90,25,40,55,0,0,15,80,35,15,26,0,0,0,0,False,False,False,False,False,False,False,True,False,False
45.0,3,3,3.58,90,15,60,35,50,0,0,30,15,15,30,0,10,20,7,False,True,False,False,False,False,False,False,False,False
42.0,3,59,3.7,90,40,15,10,25,3,5,60,50,25,10,3,20,40,15,False,True,False,False,False,False,False,False,False,False
40.0,3,8,3.93,90,10,30,40,25,15,45,35,40,10,0,0,35,10,0,False,False,False,False,False,True,False,False,False,False
40.0,2,2,4.13,90,5,15,80,15,20,0,60,75,55,65,25,0,10,10,False,False,False,False,False,False,False,False,True,False
40.0,2,33,4.03,90,15,5,55,45,5,5,10,45,65,75,25,5,65,15,False,False,False,False,False,False,True,False,False,False
40.0,3,68,4.06,90,55,40,85,85,60,65,70,20,70,40,60,10,60,20,False,False,False,False,False,False,False,False,False,True
40.0,3,3,3.42,90,10,10,30,40,15,5,40,45,10,5,25,5,30,20,False,False,False,False,False,False,False,False,False,True
40.0,5,38,4.25,90,10,15,35,35,15,20,40,50,10,10,0,25,0,0,False,False,False,False,False,False,False,True,False,False
40.0,3,13,3.85,90,0,20,20,40,50,30,65,50,25,20,5,30,45,0,False,False,False,False,False,False,True,False,False,False
40.0,1,12,3.34,90,5,5,0,10,0,0,40,70,25,0,0,20,60,10,False,True,False,False,False,False,False,False,False,False
40.0,3,9,4.22,90,5,10,40,20,10,0,80,80,0,0,0,10,60,20,False,False,False,False,False,True,False,False,False,False
35.0,2,2,3.25,90,20,20,40,50,30,0,40,40,0,10,30,0,50,30,False,False,False,False,False,False,False,False,False,True
40.0,2,3,3.67,90,15,15,25,20,10,5,70,70,0,0,0,20,50,5,False,False,False,False,False,False,False,False,False,True
48.0,4,15,4.04,90,40,10,60,40,5,0,40,40,20,10,0,30,40,15,False,True,False,False,False,False,False,False,False,False
40.0,2,2,3.88,90,0,45,25,70,20,10,60,65,75,40,0,45,80,75,False,False,False,False,False,False,True,False,False,False
43.0,2,3,3.0,90,15,20,30,50,20,5,60,40,15,10,5,20,60,10,False,False,False,False,True,False,False,False,False,False
45.0,4,50,4.19,90,70,70,20,40,15,35,0,40,50,0,15,0,15,0,False,True,False,False,False,False,False,False,False,False
40.0,3,65,4.09,90,5,30,50,50,0,20,30,40,5,0,0,0,40,0,False,False,False,False,False,True,False,False,False,False
47.0,4,12,4.21,90,30,10,50,0,40,10,40,10,30,20,10,0,20,0,False,True,False,False,False,False,False,False,False,False
51.2,5,4,4.81,90,70,65,60,65,35,25,65,60,60,70,85,10,75,70,False,True,False,False,False,False,False,False,False,False
47.0,3,35,4.18,90,45,25,20,70,20,15,65,30,15,15,25,25,60,15,False,True,False,False,False,False,False,False,False,False
40.0,3,84,3.94,90,60,15,20,15,0,0,40,30,10,10,0,20,50,5,False,False,True,False,False,False,False,False,False,False
40.0,3,28,3.78,90,5,70,70,5,5,0,80,85,65,45,25,0,85,15,False,True,False,False,False,False,False,False,False,False
40.0,4,69,4.13,90,5,10,20,5,10,0,30,40,10,0,10,0,15,5,False,False,False,False,False,True,False,False,False,False
40.0,2,152,4.03,90,20,20,10,10,15,10,5,20,10,0,25,0,5,15,False,False,False,False,False,True,False,False,False,False
45.5,4,5,3.9,90,40,80,20,70,35,20,75,45,35,55,30,15,70,20,False,True,False,False,False,False,False,False,False,False
48.6,4,13,4.04,90,25,25,20,15,15,5,30,5,20,10,20,5,15,15,False,True,False,False,False,False,False,False,False,False
48.9,4,4,4.94,90,35,45,40,25,25,5,40,5,40,20,30,5,30,15,False,True,False,False,False,False,False,False,False,False
51.0,3,2,3.38,90,40,65,30,40,55,55,35,65,45,45,40,75,85,80,False,True,False,False,False,False,False,False,False,False
40.0,2,15,4.09,90,10,0,40,30,20,0,80,80,0,0,0,20,50,0,False,False,False,False,False,True,False,False,False,False
47.0,4,1,5.0,90,65,85,40,90,40,30,70,45,55,30,55,45,40,30,False,True,False,False,False,False,False,False,False,False
50.0,2,27,4.21,90,5,15,65,70,20,5,45,60,20,15,15,5,20,15,False,False,False,False,False,False,False,False,False,True
40.0,2,14,4.0,90,5,15,30,40,10,0,70,60,20,5,0,0,70,10,False,False,False,False,False,False,True,False,False,False
49.0,5,22,4.45,90,70,60,70,35,30,60,65,55,30,40,50,40,70,40,False,True,False,False,False,False,False,False,False,False
46.0,2,25,3.46,90,20,40,15,40,20,0,60,60,10,15,0,0,20,30,False,True,False,False,False,False,False,False,False,False
40.0,2,46,4.29,90,64,60,68,65,15,10,35,67,32,25,20,10,67,25,False,False,False,False,False,False,False,False,False,True
40.0,3,28,3.89,90,0,57,90,85,40,60,89,80,76,70,79,85,83,65,False,False,False,False,False,False,False,False,False,True
40.0,4,3,4.0,90,12,47,82,62,30,67,46,71,55,20,49,31,63,36,False,False,False,False,False,False,False,False,False,True
40.0,2,5,4.05,90,35,60,65,35,30,30,55,70,30,50,25,10,75,20,False,False,False,False,False,False,False,False,False,True
40.0,2,80,4.2,90,0,67,89,70,30,60,91,75,45,60,50,73,87,78,False,False,False,False,False,False,True,False,False,False
40.0,5,219,4.45,90,22,25,14,42,86,30,88,80,24,8,80,52,63,70,False,False,False,False,False,False,False,True,False,False
55.0,3,21,4.4,90,10,10,50,40,0,5,20,15,30,10,15,5,25,0,False,False,False,False,False,False,True,False,False,False
45.0,2,109,3.69,90,85,55,40,35,30,30,90,70,40,30,30,20,50,25,False,True,False,False,False,False,False,False,False,False
47.0,3,9,4.31,90,45,40,45,70,10,18,68,65,70,50,30,30,60,37,False,True,False,False,False,False,False,False,False,False
48.4,2,27,3.92,90,50,30,60,60,30,30,60,80,70,60,10,50,80,70,False,True,False,False,False,False,False,False,False,False
40.0,4,1,4.25,90,35,35,50,60,50,10,25,65,25,20,15,10,60,15,False,False,False,False,False,False,False,True,False,False
40.0,2,27,3.69,90,0,20,5,35,75,30,60,45,40,25,0,40,65,40,False,False,False,False,False,False,True,False,False,False
40.0,4,7,4.43,90,40,45,50,65,20,10,70,80,30,25,25,15,70,45,False,False,False,False,False,False,False,True,False,False
40.0,2,37,3.92,90,40,75,80,85,30,60,40,40,75,35,75,55,45,65,False,False,False,False,False,False,True,False,False,False
40.0,3,16,4.55,90,5,20,30,10,15,10,50,60,15,15,0,25,70,20,False,False,False,False,False,False,False,False,False,True
51.75,5,8,4.72,90,75,85,45,80,25,60,75,60,55,45,65,70,40,30,False,True,False,False,False,False,False,False,False,False
40.0,3,2,4.5,90,0,20,5,50,0,10,30,60,15,0,0,10,40,5,False,False,False,False,False,False,True,False,False,False
40.0,2,457,3.94,90,0,20,20,35,20,10,60,50,20,15,5,15,15,10,False,False,False,False,False,False,True,False,False,False
40.0,3,450,4.15,90,25,20,60,25,15,25,49,50,15,15,10,25,20,0,False,False,False,False,False,True,False,False,False,False
43.0,3,32,3.81,90,15,55,25,85,25,20,60,20,35,15,10,25,35,10,False,True,False,False,False,False,False,False,False,False
40.0,3,1,3.0,89,5,15,30,15,15,0,70,30,10,8,5,18,20,0,False,False,False,False,False,True,False,False,False,False
40.0,5,1,5.0,89,3,10,25,15,15,3,70,40,10,0,0,10,30,2,False,False,False,False,False,False,False,False,False,True
40.0,4,4,4.88,89,3,10,10,15,0,2,30,25,5,0,0,10,15,0,False,False,False,False,False,False,True,False,False,False
40.0,2,1,4.0,89,0,20,5,20,0,0,40,35,8,10,0,15,30,3,False,False,False,False,False,False,True,False,False,False
40.0,3,3,3.75,89,30,45,30,50,25,35,55,50,25,0,10,10,20,15,False,False,True,False,False,False,False,False,False,False
40.0,2,11,3.61,89,0,10,30,25,10,5,50,40,15,10,0,20,30,5,False,False,False,False,False,False,True,False,False,False
43.0,2,1,3.75,89,30,15,10,10,0,2,40,30,10,5,0,40,60,10,False,True,False,False,False,False,False,False,False,False
45.0,2,2,4.13,89,30,15,15,20,0,5,50,30,15,8,0,25,40,10,False,True,False,False,False,False,False,False,False,False
40.0,4,2,4.5,89,45,12,25,15,3,0,65,40,15,10,10,20,30,0,False,False,False,False,False,True,False,False,False,False
42.0,2,9,3.22,89,60,40,50,80,30,50,20,40,40,20,30,70,50,70,False,True,False,False,False,False,False,False,False,False
40.0,3,8,4.16,89,0,15,15,10,10,5,70,65,10,0,0,20,50,25,False,False,False,False,False,True,False,False,False,False
40.0,3,1,4.5,89,0,10,30,20,15,3,60,60,20,0,0,15,20,15,False,False,False,False,False,False,False,False,False,True
38.0,3,5,4.5,89,30,20,15,10,10,3,40,25,15,5,10,20,40,10,False,False,False,False,True,False,False,False,False,False
46.0,4,2,3.63,89,15,55,25,23,5,0,70,60,0,40,0,10,55,20,False,True,False,False,False,False,False,False,False,False
40.0,3,3,3.58,89,0,17,30,0,14,0,70,45,0,0,0,0,20,0,False,False,False,False,False,True,False,False,False,False
40.0,3,10,4.46,89,5,30,40,5,60,0,80,95,10,15,10,0,50,25,True,False,False,False,False,False,False,False,False,False
52.0,1,2,3.63,89,10,20,30,20,40,10,40,20,50,0,10,10,30,10,False,False,False,False,False,False,True,False,False,False
48.6,4,1,2.0,89,50,65,10,50,0,40,0,70,30,0,15,0,65,40,False,True,False,False,False,False,False,False,False,False
43.0,3,3,3.25,89,20,25,40,50,40,5,70,60,10,10,5,5,30,0,False,False,False,False,True,False,False,False,False,False
40.0,3,21,4.17,89,15,20,15,25,5,5,15,65,5,15,5,10,55,5,False,False,False,False,False,True,False,False,False,False
40.0,2,3,4.0,89,0,80,10,40,5,10,5,30,70,0,0,0,30,10,False,False,False,False,False,False,True,False,False,False
49.0,3,8,3.63,89,65,60,50,70,25,20,45,40,60,55,70,10,60,65,False,True,False,False,False,False,False,False,False,False
40.0,3,23,3.6,89,30,0,20,40,10,5,15,50,10,0,15,10,15,35,False,False,False,False,False,False,False,False,False,True
40.0,4,30,4.34,89,10,25,30,25,5,10,40,20,5,5,15,10,20,0,False,False,False,False,False,True,False,False,False,False
53.0,2,6,3.0,89,15,10,30,60,0,0,40,15,10,0,5,5,20,0,False,True,False,False,False,False,False,False,False,False
50.9,3,8,4.56,89,50,30,10,70,20,15,40,55,60,30,40,40,80,50,False,True,False,False,False,False,False,False,False,False
51.2,2,64,3.89,89,55,35,80,70,35,55,30,65,65,45,85,60,75,70,False,True,False,False,False,False,False,False,False,False
55.0,3,32,3.71,89,70,74,86,83,50,45,79,80,83,78,78,83,83,75,False,False,False,False,False,False,False,False,False,True
47.0,4,2,5.0,89,55,60,30,70,45,55,65,65,35,50,55,40,70,65,False,True,False,False,False,False,False,False,False,False
45.9,4,5,3.55,89,65,80,20,85,15,45,60,50,60,40,60,40,40,30,False,True,False,False,False,False,False,False,False,False
44.0,4,55,3.75,89,30,40,40,25,30,15,50,55,15,0,0,15,40,0,False,False,False,False,False,True,False,False,False,False
47.3,4,11,3.5,89,35,30,45,70,25,30,60,80,50,35,30,65,90,65,False,True,False,False,False,False,False,False,False,False
49.4,4,3,4.42,89,40,60,35,90,20,15,50,60,55,70,20,65,30,40,False,True,False,False,False,False,False,False,False,False
44.0,2,63,3.68,89,60,80,45,50,30,40,50,50,65,40,40,50,65,33,False,True,False,False,False,False,False,False,False,False
40.0,2,5,4.2,89,26,32,62,58,75,32,70,84,28,18,63,26,82,69,False,False,False,False,False,True,False,False,False,False
40.0,2,14,3.64,89,25,52,78,34,65,23,52,72,32,22,61,17,67,60,False,False,False,False,False,False,False,False,False,True
45.0,3,11,4.03,89,75,75,70,40,50,40,80,65,60,65,75,35,30,30,False,False,True,False,False,False,False,False,False,False
40.0,2,16,3.91,89,15,40,30,70,30,15,70,83,45,30,20,50,80,50,False,False,False,False,False,False,True,False,False,False
40.0,2,220,3.87,89,58,70,70,60,40,44,56,68,60,0,72,0,64,26,False,False,False,False,False,False,False,False,False,True
49.0,3,4,3.5,89,75,60,30,75,10,30,40,76,80,40,10,50,60,30,False,True,False,False,False,False,False,False,False,False
47.0,2,16,4.08,89,80,70,75,55,30,40,70,60,80,68,45,30,55,33,False,True,False,False,False,False,False,False,False,False
40.0,3,213,3.74,89,5,10,30,15,20,5,80,60,10,3,0,10,25,3,False,False,False,False,False,True,False,False,False,False
40.0,2,26,3.75,89,55,60,45,60,25,10,30,80,40,30,35,15,70,30,False,False,False,False,False,False,False,False,False,True
40.0,2,9,3.69,89,25,60,60,70,60,35,70,50,80,65,65,75,75,40,False,False,False,False,False,False,True,False,False,False
40.0,4,18,4.05,89,10,25,35,50,15,5,70,40,25,30,0,15,50,15,False,False,False,False,False,True,False,False,False,False
40.0,3,17,3.81,89,25,60,10,65,25,25,55,15,40,25,10,30,10,0,False,True,False,False,False,False,False,False,False,False
40.0,2,3,2.5,88,5,5,20,15,5,0,40,30,15,0,5,10,30,10,False,False,False,False,False,False,False,False,False,True
40.0,5,10,4.44,88,0,35,40,40,15,30,55,65,10,0,0,35,25,0,False,False,False,False,False,False,False,True,False,False
